legal_name,addr_street,addr_housenumber,addr_postcode,municipality,health_facility_type,pharmacy_type,opening_hours,longitude,latitude
Silvestri Luciana,Via J. A. Maffei,8,38028,Revo',pharmacy,Ordinaria,NA,11.0520541954953,46.4123540693265
Lafarmacia.Dellaroggia S.R.L.,Via Della Roggia,9,38061,Ala,pharmacy,Ordinaria,NA,11.0026564100186,45.7590051426327
Franzellin Vittorio E C. Snc,Via Segantini,1,38061,Ala,pharmacy,Ordinaria,NA,11.0414606774668,45.7479086521251
Bettinazzi - R. & T. Pharma Snc,Via Galas,49,38062,Arco,pharmacy,Ordinaria,NA,10.9070021739945,45.9304227931688
Famiglia Cooperativa Vallagarina,Piazza Roma,6,38063,Avio,pharmacy,Ordinaria,NA,10.9198632803229,45.7321595956525
Farmacia Bailo,Piazzale Dante Alighieri,3A,38051,Borgo Valsugana,pharmacy,Ordinaria,Mo-Sa 08:30-12:15,15:30-19:00; PH closed,11.4548786528763,46.0537032663744
Farmacia Rigoni,Via Brennero,15,38060,Calliano,pharmacy,Ordinaria,NA,11.092814945964,45.92929890554
Franzellin Giancarlo,Via Fratelli Bronzetti,28,38033,Cavalese,pharmacy,Ordinaria,NA,11.4621468378048,46.2908054279005
Farmacia All'Angelo,Via Guglielmo Marconi,10,38010,Denno,pharmacy,Ordinaria,NA,11.0479741341762,46.2744402673537
Farmacia Girardi,Via E. Colpi,181,38064,Folgaria,pharmacy,Ordinaria,PH,Su 10:00-12:00; Mo-Sa 08:30-12:30,15:45-19:15,11.173685990304,45.9150520622353
Farmacia Girardi,Via Emilio Colpi,179,38064,Folgaria,pharmacy,Ordinaria,PH,Su 10:00-12:00; Mo-Sa 08:30-12:30,15:45-19:15,11.1736862532487,45.9150464713168
Farmacia Romani,Via Giuseppe Segantini,1,38015,Lavis,pharmacy,Ordinaria,Mo-Sa 08:00-12:15,15:00-19:15,11.1071423239541,46.1413450326899
Farmacia Romanese S.A.S. Del Dott. Giancarlo Tognoli & C.,Via Regia,16,38056,Levico Terme,pharmacy,Ordinaria,NA,11.3005470633363,46.0113979272623
Farmacia Rigoni,Strada Cerilio Dellantonio Bora,2,38035,Moena,pharmacy,Ordinaria,NA,11.6587751530946,46.3767863225875
Farmacia Crescini,Piazza Giovanni Serra,8,38057,Pergine Valsugana,pharmacy,Ordinaria,Mo-Sa 08:30-12:00, Mo-Sa 15:00-19:00,11.2383046917462,46.0598822377558
Scaglia S.A.S. Di Scaglia Anna & C.,Piazza S. Giacomo,1,38086,Pinzolo,pharmacy,Ordinaria,NA,10.7963137713744,46.2220374200605
Farmacia Covi Di Mabellini Dott.Ssa Fabiana &Amp; Mabellini Elena S.N.C.,Via Nazionale,3,38087,Sella Giudicarie,pharmacy,Ordinaria,NA,10.6370184064172,45.9985303442461
Farmacia Vinotti Snc,Via Roma,1/A,38012,Predaia,pharmacy,Ordinaria,NA,11.0867023825133,46.2645612724544
Farmacia Vinotti Snc,Via Roma,1A,38012,Predaia,pharmacy,Ordinaria,NA,11.0867023825133,46.2645612724544
Farmacia Dall'Armi,Piazza Del Duomo,10,38122,Trento,pharmacy,Ordinaria,NA,11.1219135842788,46.0676743902221
Parafarmacia E' Qui,Via Padova,5,38122,Trento,pharmacy,Ordinaria,NA,10.8541456407738,45.8826227552707
Farmacia Santoni,Piazza Mario Pasi,20,38122,Trento,pharmacy,Ordinaria,NA,11.1223980582822,46.0677921559617
Farmacia Giupponi Srl,Via Catoni,69,38123,Trento,pharmacy,Ordinaria,NA,10.9749001,45.9933102
