Anno;Codice Regione;Descrizione Regione;Codice Azienda;Codice struttura;Denominazione struttura;Indirizzo;Codice Comune;Comune;Sigla provincia;Codice tipo struttura;Descrizione tipo struttura
2010;010;PIEMONTE             ;901;010901;AZIENDA OSPED.S.GIOVANNI BATTISTA DI TOR;CORSO LAZZARI FRANCESCO DETTO IL BRAMANT;001272;TORINO                                  ;TO;2.2;Azienda Ospedaliera integrata con l'Università
2010;010;PIEMONTE             ;902;010902;C.T.O.-MARIA ADELAIDE                   ;VIA ZURETTI GIANFRANCO                  ;001272;TORINO                                  ;TO;0;Azienda Ospedaliera
2010;010;PIEMONTE             ;903;010903;AZIENDA OSPEDALIERA O.I.R.M.S.-SANT'ANNA;CORSO SPEZIA                            ;001272;TORINO                                  ;TO;0;Azienda Ospedaliera
2010;010;PIEMONTE             ;904;010904;AZIENDA OSPEDALIERO UNIVERSITARIA S.LUIG;REGIONE GONZOLE                         ;001171;ORBASSANO                               ;TO;2.2;Azienda Ospedaliera integrata con l'Università
2010;010;PIEMONTE             ;905;010905;AZIENDA OSPED. NOVARA E GALLIATE        ;CORSO MAZZINI GIUSEPPE                  ;003106;NOVARA                                  ;NO;2.2;Azienda Ospedaliera integrata con l'Università
2010;010;PIEMONTE             ;906;010906;AZ. OSPEDAL. S. CROCE E CARLE;VIA COPPINO MICHELE                     ;004078;CUNEO                                   ;CN;0;Azienda Ospedaliera
2010;010;PIEMONTE             ;907;010907;AZ. SS.ANTONIO E BIAGIO E C.ARRIGO      ;VIA VENEZIA                             ;006003;ALESSANDRIA                             ;AL;0;Azienda Ospedaliera
2010;010;PIEMONTE             ;908;010908;OSPEDALE MAURIZIANO  UMBERTO I - TORINO ;LARGO TURATI FILIPPO                    ;001272;TORINO                                  ;TO;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;920;030920;C.TRO BRONCOPNEUMOPATIE INRCA-CASATENOVO;VIA MONTEREGIO, 13                      ;097016;CASATENOVO                              ;LC;3.1;IRCCS pubblico
2010;030;LOMBARDIA            ;922;030922;"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO  ";VIA VENEZIAN, 1                         ;015146;MILANO                                  ;MI;3.3;IRCCS fondazione
2010;030;LOMBARDIA            ;923;030923;FOND.IRCCS IST.NAZ.NEUROLOGICO C.BESTA  ;VIA CELORIA 11                          ;015146;MILANO                                  ;MI;3.3;IRCCS fondazione
2010;030;LOMBARDIA            ;924;030924;OSPEDALE POLICLINICO S. MATTEO - PAVIA  ;P.LE GOLGI, 19                          ;018110;PAVIA                                   ;PV;3.3;IRCCS fondazione
2010;030;LOMBARDIA            ;925;030925;FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGI;VIA FRANCESCO SFORZA, 28                ;015146;MILANO                                  ;MI;3.3;IRCCS fondazione
2010;030;LOMBARDIA            ;951;030951;A.O. OSP.CIRC. FONDAZIONE MACCHI-VARESE ;VIALE LUIGI BORRI, 57                   ;012133;VARESE                                  ;VA;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;952;030952;A.O. S.ANTONIO ABATE - GALLARATE        ;L.GO BOITO   2                          ;012070;GALLARATE                               ;VA;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;953;030953;A.O. OSPEDALE DI CIRCOLO - BUSTO ARSIZIO;PIAZZALE  SOLARO, 3                     ;012026;BUSTO ARSIZIO                           ;VA;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;954;030954;A.O. SPEDALI CIVILI - BRESCIA           ;PIAZZALE SPEDALI CIVILI, 1              ;017029;BRESCIA                                 ;BS;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;955;030955;"A.O. ""MELLINO MELLINI"" - CHIARI         ";VIALE MAZZINI, 4                        ;017052;CHIARI                                  ;BS;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;956;030956;A.O. DESENZANO DEL GARDA - DESENZANO G. ;LOCALITA' MONTECROCE                    ;017067;DESENZANO DEL GARDA                     ;BS;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;957;030957;A.O. ISTITUTI OSPEDALIERI - CREMONA     ;VIALE CONCORDIA, 1                      ;019036;CREMONA                                 ;CR;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;958;030958;A.O. OSPEDALE MAGGIORE - CREMA          ;VIA GRAMSCI 13                          ;019035;CREMA                                   ;CR;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;959;030959;A.O. S.ANNA - COMO                      ;VIA NAPOLEONA, 60                       ;013075;COMO                                    ;CO;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;960;030960;A.O. OSPEDALE DI LECCO - LECCO          ;VIA DELL'EREMO, 9/11                    ;097042;LECCO                                   ;LC;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;962;030962;A.O. OSPEDALI RIUNITI - BERGAMO         ;LARGO BAROZZI, 1                        ;016024;BERGAMO                                 ;BG;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;963;030963;A.O. OSP.TREVIGLIO CARAVAGGIO-TREVIGLIO ;PIAZZA OSPEDALE 1                       ;016219;TREVIGLIO                               ;BG;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;964;030964;"A.O. ""BOLOGNINI"" - SERIATE              ";VIA PADERNO, 21                         ;016198;SERIATE                                 ;BG;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;965;030965;"A.O. ""CARLO POMA"" - MANTOVA             ";VIA ALBERTONI, 1                        ;020030;MANTOVA                                 ;MN;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;966;030966;"A.O. ""LUIGI SACCO"" - MILANO             ";VIA S. GIOVANNI BATTISTA GRASSI, 74     ;015146;MILANO                                  ;MI;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;967;030967;"A.O. ""OSP.NIGUARDA CA'GRANDA""-MILANO    ";PIAZZA OSP. MAGGIORE,3                  ;015146;MILANO                                  ;MI;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;968;030968;"A.O. ""IST.CLIN.PERFEZIONAMENTO""-MILANO  ";VIA DAVERIO, 6                          ;015146;MILANO                                  ;MI;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;969;030969;A.O. FATEBENEFRATELLI E OFTALMICO-MILANO;CORSO DI PORTA NUOVA, 23                ;015146;MILANO                                  ;MI;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;970;030970;"A.O. ""SAN PAOLO"" - MILANO               ";VIA A. DI RUDINI', 8                    ;015146;MILANO                                  ;MI;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;971;030971;A.O. IST.ORTOPEDICO GAETANO PINI-MILANO ;PIAZZA CARDINAL FERRARI, 1              ;015146;MILANO                                  ;MI;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;972;030972;"A.O. ""S.CARLO BORROMEO"" - MILANO        ";VIA PIO II, 3                           ;015146;MILANO                                  ;MI;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;973;030973;A.O. OSPEDALE CIVILE - LEGNANO          ;CORSO SEMPIONE, 82                      ;015118;LEGNANO                                 ;MI;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;974;030974;"A.O. ""G. SALVINI"" - GARBAGNATE          ";VIALE FORLANINI, 121                    ;015105;GARBAGNATE MILANESE                     ;MI;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;975;030975;A.O. OSPEDALE DI CIRCOLO - MELEGNANO    ;VIA PANDINA, 1                          ;015244;VIZZOLO PREDABISSI                      ;MI;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;976;030976;A.O. OSPEDALE CIVILE - VIMERCATE        ;VIA C. BATTISTI,23                      ;108050;VIMERCATE;MB;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;977;030977;"A.O. ""S.GERARDO"" - MONZA                ";VIA SOLFERINO, 16                       ;108033;MONZA;MB;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;978;030978;A.O. DELLA PROVINCIA DI LODI            ;PIAZZA OSPEDALE, 10                     ;098031;LODI                                    ;LO;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;979;030979;A.O. DELLA PROVINCIA DI PAVIA           ;VIALE REPUBBLICA, 34                    ;018110;PAVIA                                   ;PV;0;Azienda Ospedaliera
2010;030;LOMBARDIA            ;980;030980;A.O. VALTELLINA E VALCHIAVENNA          ;VIA STELVIO, 25                         ;014061;SONDRIO                                 ;SO;0;Azienda Ospedaliera
2010;050;VENETO               ;901;050901;AZIENDA OSPEDALIERA DI PADOVA;VIA GIUSTINIANI, 1                      ;028060;PADOVA                                  ;PD;0;Azienda Ospedaliera
2010;050;VENETO               ;912;050912;AZ.OSP.UNIVERSITARIA INTEGRATA VERONA;Piazzale Stefani, 1;023091;VERONA                                  ;VR;2.2;Azienda Ospedaliera integrata con l'Università
2010;050;VENETO               ;952;050952;I.R.C.C.S. ISTITUTO ONCOLOGICO VENETO;via gattamelata, 64;028060;PADOVA                                  ;PD;3.1;IRCCS pubblico
2010;060;FRIULI VENEZIA GIULIA;901;060901;I.R.C.C.S.  BURLO GAROFOLO;VIA DELL`ISTRIA 65/1                    ;032006;TRIESTE                                 ;TS;3.1;IRCCS pubblico
2010;060;FRIULI VENEZIA GIULIA;902;060902;CENTRO  RIFERIMENTO ONCOLOGICO;VIA FRANCO GALLINI N. 2;093004;AVIANO                                  ;PN;3.1;IRCCS pubblico
