service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012024090920250627,1,1,1,1,1,1,1,20240909,20250627
0000000012024091020250627,1,1,1,1,1,1,1,20240910,20250627
0000000012024091120250627,1,1,1,1,1,1,1,20240911,20250627
0000000012024093020241130,1,1,1,1,1,1,1,20240930,20241130
0000000012024101820250627,1,1,1,1,1,1,1,20241018,20250627
0000000012024103020250627,1,1,1,1,1,1,1,20241030,20250627
0000000022024090920241207,1,1,1,1,1,1,0,20240909,20241207
0000000022024090920250627,1,1,1,1,1,1,0,20240909,20250627
0000000022024091020250627,1,1,1,1,1,1,0,20240910,20250627
0000000022024091620250627,1,1,1,1,1,1,0,20240916,20250627
0000000022024092620250627,1,1,1,1,1,1,0,20240926,20250627
0000000022024093020241130,1,1,1,1,1,1,0,20240930,20241130
0000000022024100720250627,1,1,1,1,1,1,0,20241007,20250627
0000000022024100920250627,1,1,1,1,1,1,0,20241009,20250627
0000000022024101620250627,1,1,1,1,1,1,0,20241016,20250627
0000000022024102120250627,1,1,1,1,1,1,0,20241021,20250627
0000000022024102520250627,1,1,1,1,1,1,0,20241025,20250627
0000000022024102920250627,1,1,1,1,1,1,0,20241029,20250627
0000000022024103020250627,1,1,1,1,1,1,0,20241030,20250627
0000000022024120120250627,1,1,1,1,1,1,0,20241201,20250627
0000000022024122320250316,1,1,1,1,1,1,0,20241223,20250316
0000000042024090920250627,1,1,1,1,1,0,0,20240909,20250627
0000000042024091420250627,1,1,1,1,1,0,0,20240914,20250627
0000000042024093020241130,1,1,1,1,1,0,0,20240930,20241130
0000000042024100920250627,1,1,1,1,1,0,0,20241009,20250627
0000000042024101420250627,1,1,1,1,1,0,0,20241014,20250627
0000000042024102120250627,1,1,1,1,1,0,0,20241021,20250627
0000000042024102520250627,1,1,1,1,1,0,0,20241025,20250627
0000000042024103020250627,1,1,1,1,1,0,0,20241030,20250627
0000000042024120120250627,1,1,1,1,1,0,0,20241201,20250627
0000000052024090920250627,1,1,1,1,1,1,0,20240909,20250627
0000000052024091020250627,1,1,1,1,1,1,0,20240910,20250627
0000000052024091820250627,1,1,1,1,1,1,0,20240918,20250627
0000000052024101420250627,1,1,1,1,1,1,0,20241014,20250627
0000000052024102120250627,1,1,1,1,1,1,0,20241021,20250627
0000000052024102520250627,1,1,1,1,1,1,0,20241025,20250627
0000000062024090920250627,1,1,1,1,1,0,0,20240909,20250627
0000000062024091020250627,1,1,1,1,1,0,0,20240910,20250627
0000000062024091220250627,1,1,1,1,1,0,0,20240912,20250627
0000000062024091420250627,1,1,1,1,1,0,0,20240914,20250627
0000000062024091720250627,1,1,1,1,1,0,0,20240917,20250627
0000000062024091820250627,1,1,1,1,1,0,0,20240918,20250627
0000000062024091920250627,1,1,1,1,1,0,0,20240919,20250627
0000000062024092420250627,1,1,1,1,1,0,0,20240924,20250627
0000000062024092720250627,1,1,1,1,1,0,0,20240927,20250627
0000000062024102120250627,1,1,1,1,1,0,0,20241021,20250627
0000000072024090920250627,0,0,0,0,0,0,1,20240909,20250627
0000000072024093020241130,0,0,0,0,0,0,1,20240930,20241130
0000000072024101620241225,0,0,0,0,0,0,1,20241016,20241225
0000000072024102120250627,0,0,0,0,0,0,1,20241021,20250627
0000000072024103120250627,0,0,0,0,0,0,1,20241031,20250627
0000000072024120120250627,0,0,0,0,0,0,1,20241201,20250627
0000000072024122220250322,0,0,0,0,0,0,1,20241222,20250322
0000000072024122220250323,0,0,0,0,0,0,1,20241222,20250323
0000000072024122620250322,0,0,0,0,0,0,1,20241226,20250322
0000000072024122620250323,0,0,0,0,0,0,1,20241226,20250323
0000000092024090920250627,1,1,1,1,1,1,0,20240909,20250627
0000000092024102120250627,1,1,1,1,1,1,0,20241021,20250627
0000000302024090920250627,0,0,0,0,0,0,0,20240909,20250627
0000000302024102120250627,0,0,0,0,0,0,0,20241021,20250627
0000000322024090920250627,1,1,1,1,1,1,0,20240909,20250627
0000000352024090920250627,0,0,0,0,0,0,0,20240909,20250627
0000000402024090920250627,0,0,0,0,1,0,0,20240909,20250627
0000000412024090920250627,0,0,1,0,0,0,0,20240909,20250627
0000000502024090920250627,0,0,0,1,0,0,0,20240909,20250627
0000000822024090920250627,0,0,0,0,0,1,0,20240909,20250627
0000000822024091420250627,0,0,0,0,0,1,0,20240914,20250627
0000000822024091820250627,0,0,0,0,0,1,0,20240918,20250627
0000000822024102120250627,0,0,0,0,0,1,0,20241021,20250627
0000004512024090920250627,0,0,0,0,0,1,0,20240909,20250627
0000004512024091420250627,0,0,0,0,0,1,0,20240914,20250627
0000004512024092520250627,0,0,0,0,0,1,0,20240925,20250627
0000004512024093020241130,0,0,0,0,0,1,0,20240930,20241130
0000004512024102120250627,0,0,0,0,0,1,0,20241021,20250627
0000004512024120120250627,0,0,0,0,0,1,0,20241201,20250627
0000005552024090920250627,0,1,1,0,1,0,0,20240909,20250627
0000005902024090920250627,1,1,1,1,1,0,0,20240909,20250627
0000005902024102120250627,1,1,1,1,1,0,0,20241021,20250627
