route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
227,0000000052024090920250627,0003235842024090920250627,Feltre. Staz. Fs,0,SHAPE00979
80,0000000022024090920250627,0003204682024090920250627,Trento. Autostazione,1,SHAPE01051
171,0000000022024090920250627,0003201542024090920250627,Riva Del G.Autostazione,1,SHAPE00102
120,0000000072024102120250627,0003265012024102120250627,Trento. Autostazione,1,SHAPE01427
220,0000000822024090920250627,0003221502024090920250627,Rovereto. Via Manzoni,1,SHAPE00074
375,0000000092024090920250627,0003241212024090920250627,Passo Mendola,0,SHAPE00108
108,0000004512024090920250627,0003237332024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE02478
520,0000000042024090920250627,0003231912024090920250627,Levico Terme Autostazione,1,SHAPE00329
175,0000000042024090920250627,0003206182024090920250627,Trento. Autostazione,1,SHAPE00112
401,0000000822024090920250627,0003247972024090920250627,Vervo' Centro Sportivo Parch.,0,SHAPE00405
343,0000000042024090920250627,0003197492024090920250627,Faedo. Pineta,0,SHAPE00631
717,0000000022024090920250627,0003225932024090920250627,Bassano Del Grappa,0,SHAPE02852
634,0000000022024090920250627,0003217092024090920250627,Trento. Autostazione,1,SHAPE00090
703,0000000072024090920250627,0003243512024090920250627,Trento. Autostazione,1,SHAPE00158
340,0000000062024090920250627,0003199332024090920250627,Mezzocorona-Staz.Fs,0,SHAPE03198
618,0000000022024090920250627,0003236222024090920250627,Sagron,0,SHAPE01922
157,0000000072024090920250627,0003210842024090920250627,Baitoni,0,SHAPE00021
188,0000000052024090920250627,0003230802024090920250627,Tenna,0,SHAPE02753
184,0000000042024090920250627,0003227002024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE00020
549,0000000022024090920250627,0003232642024090920250627,Nogare',0,SHAPE00302
336,0000006212024120820250316,0003247032024120820250316,Peio,0,SHAPE00275
110,0000000022024090920250627,0003218842024090920250627,Trento. Autostazione,1,SHAPE00065
181,0000004512024090920250627,0003215802024090920250627,Aldeno,0,SHAPE00057
76,0000000092024090920250627,0003202932024090920250627,Trento. Autostazione,1,SHAPE00656
695,0000000022024120120250627,0003263672024120120250627,Bassano Del Grappa. Staz. Fs,0,
231,0000000042024103020250627,0003265422024103020250627,Rovereto. Via Manzoni,1,SHAPE01350
157,0000000052024090920250627,0003210142024090920250627,Lodrone,1,SHAPE02566
161,0000000052024090920250627,0003208642024090920250627,Tavodo-Incr.S.P.,1,SHAPE02020
186,0000004512024090920250627,0003224122024090920250627,Trento. Autostazione,1,SHAPE00005
343,0000000022024090920250627,0003197372024090920250627,Mezzocorona Ferr.,1,SHAPE00141
71,0000000022024090920250627,0003209542024090920250627,Ponte Arche Autostazione,1,SHAPE00033
80,0000000022024090920250627,0003203482024090920250627,Trento. Autostazione,1,SHAPE00165
120,0000000062024102120250627,0003265142024102120250627,Trento. Autostazione,1,SHAPE00248
188,0000000022024090920250627,0003229502024090920250627,Pergine V. Intermodale,1,SHAPE00321
364,0000000052024102520250627,0003265302024102520250627,Fondo. Via Garibaldi,0,SHAPE00001
328,0000000502024090920250627,0003245852024090920250627,Menas,0,SHAPE00076
634,0000000072024090920250627,0003217722024090920250627,Rovereto. Via Paoli,1,SHAPE00655
102,0000000022024090920250627,0003235642024090920250627,S.Martino di Castrozza,1,SHAPE00150
552,0000000042024090920250627,0003234102024090920250627,Pergine V. Intermodale,1,SHAPE00095
233,0000000042024090920250627,0003219952024090920250627,Brentonico,0,SHAPE01049
186,0000000022024090920250627,0003223852024090920250627,Centa,0,SHAPE00295
345,0000004512024090920250627,0003240772024090920250627,Molveno,0,SHAPE00017
340,0000000022024090920250627,0003199432024090920250627,Rovere'. Trentinalatte,0,SHAPE01020
636,0000000022024090920250627,0003212762024090920250627,Campo Carlo Magno,0,SHAPE00053
1,0000000022024090920250627,0003195822024090920250627,Penia. Str. Pian Trevisan,0,SHAPE00758
98,0000000022024090920250627,0003229322024090920250627,Borgo Valsugana-C.Intermodale,1,SHAPE01146
186,0000000022024090920250627,0003223932024090920250627,Trento. Autostazione,1,SHAPE00005
184,0000000052024090920250627,0003227162024090920250627,Rincheri,0,SHAPE02261
110,0000004512024090920250627,0003220392024090920250627,Rovereto. Via Manzoni,0,SHAPE00449
717,0000000022024093020241130,0003263902024093020241130,Primolano. Staz. Fs,1,SHAPE00438
186,0000000022024090920250627,0003223502024090920250627,Centa,0,SHAPE00295
179,0000000052024090920250627,0003230602024090920250627,Pergine V. Intermodale,1,SHAPE01778
551,0000000022024090920250627,0003234832024090920250627,Pergine V. Intermodale,1,SHAPE00288
200,0000004512024090920250627,0003213952024090920250627,Ala. Staz. Fs.,0,SHAPE00559
171,0000000022024090920250627,0003201462024090920250627,Tiarno di Sopra,0,SHAPE00088
549,0000000022024090920250627,0003233912024090920250627,Pergine V. Intermodale,1,SHAPE02323
220,0000000062024090920250627,0003221422024090920250627,Pra Da Lac,0,SHAPE02934
634,0000000022024090920250627,0003217102024090920250627,Rovereto. Via Paoli,1,SHAPE02241
