"id","stop_name","stop_lat","stop_lon"
"stop-train-193","roncegno bagni-marter",46.03618,11.398818
"stop-train-316","primolano",45.965315,11.700899
"stop-train-340","povo",46.0675,11.14373
"stop-train-494","piano commezzadura ftm",46.31752,10.826359
"stop-train-527","pergine",46.062482,11.232637
"stop-train-676","nave san felice",NA,NA
"stop-train-709","mostizzolo",46.393993,11.011326
"stop-train-781","monclassico",NA,NA
"stop-train-789","mollaro",46.294689,11.068178
"stop-train-841","mezzolombardo",46.213432,11.09334
"stop-train-843","mezzocorona borgata",46.21419,11.118815
"stop-train-845","mezzocorona",NA,NA
"stop-train-850","mezzana",NA,NA
"stop-train-885","mastellina",NA,NA
"stop-train-893","masi di vigo",46.239039,11.062272
"stop-train-914","marilleva 900",46.315279,10.812217
"stop-train-944","male'",NA,NA
"stop-train-1009","levico",46.005729,11.30493
"stop-train-1031","lavis",NA,NA
"stop-train-1055","lamar",46.126033,11.1076
"stop-train-1117","grumo - san michele",NA,NA
"stop-train-1131","grigno",46.015059,11.624984
"stop-train-1209","gardolo",NA,NA
"stop-train-1370","dimaro",NA,NA
"stop-train-1378","dermulo",NA,NA
"stop-train-1379","denno",46.262854,11.059778
"stop-train-1388","daolasa",NA,NA
"stop-train-1398","croviana",NA,NA
"stop-train-1406","crescino",46.241988,11.058491
"stop-train-1479","cles polo scolastico",46.36999,11.033717
"stop-train-1480","cles",NA,NA
"stop-train-1499","cismon del grappa",45.919664,11.729272
"stop-train-1571","cavizzana",NA,NA
"stop-train-1658","cassana",NA,NA
"stop-train-1700","carpane`valstagna",45.860128,11.661183
"stop-train-1798","caldonazzo",45.997575,11.264815
"stop-train-1800","caldes",NA,NA
"stop-train-1804","calceranica",46.007384,11.240713
"stop-train-1856","bozzana",46.388888,10.988819
"stop-train-1879","borgo valsugana est",46.05224,11.462119
"stop-train-1880","borgo valsugana centro",46.051182,11.453967
"stop-train-1981","bassano del grappa",45.766697,11.741525
"stop-train-2072","zambana",NA,NA
"stop-train-2093","villazzano",46.045911,11.13906
"stop-train-2262","trento nord-zona commerciale",46.090129,11.113035
"stop-train-2263","trento ftm",NA,NA
"stop-train-2264","trento",46.072414,11.118941
"stop-train-2279","tozzaga",NA,NA
"stop-train-2323","tezze di grigno",45.990485,11.669726
"stop-train-2324","terzolas",NA,NA
"stop-train-2346","tassullo",NA,NA
"stop-train-2357","taio",NA,NA
"stop-train-2369","strigno",46.051003,11.514327
"stop-train-2393","spini-zona industriale",46.118739,11.104862
"stop-train-2427","solagna",45.815434,11.72134
"stop-train-2479","segno",NA,NA
"stop-train-2591","san bartolameo",46.047577,11.135125
"stop-train-2636","s.nazario",45.838117,11.691321
"stop-train-2642","s.marino",45.897699,11.692241
"stop-train-2674","s.cristoforo al lago-ischia",46.039743,11.23375
"stop-train-2676","s.chiara",46.05442,11.135436
