service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0000000012024090920250612,1,1,1,1,1,1,1,20240909,20250612
0000000022024090920250612,1,1,1,1,1,1,0,20240909,20250612
0000000022024092520250612,1,1,1,1,1,1,0,20240925,20250612
0000000032024090920250612,1,1,1,1,1,1,0,20240909,20250612
0000000032024092520250612,1,1,1,1,1,1,0,20240925,20250612
0000000032024093020250612,1,1,1,1,1,1,0,20240930,20250612
0000000052024090920250612,0,0,0,0,0,0,1,20240909,20250612
0000000092024090920250612,1,1,1,1,1,0,0,20240909,20250612
0000000102024090920250612,1,1,1,1,1,0,0,20240909,20250612
0000000102024093020250612,1,1,1,1,1,0,0,20240930,20250612
0000000112024090920250612,1,1,1,1,0,0,0,20240909,20250612
0000000252024090920250612,0,0,0,0,0,1,0,20240909,20250612
0000000522024093020250612,1,1,1,1,1,1,0,20240930,20250612
0000000532024090920250612,1,1,1,1,1,0,0,20240909,20250612
0000000592024090920250612,1,1,1,1,1,1,0,20240909,20250612
0000000592024100720250612,1,1,1,1,1,1,0,20241007,20250612
0000000602024090920250612,1,1,1,1,1,1,0,20240909,20250612
0000000622024090920250612,0,0,0,0,0,0,1,20240909,20250612
0000000662024090920250612,1,1,1,1,1,0,0,20240909,20250612
0000000672024090920250612,1,1,1,1,1,0,0,20240909,20250612
0000000672024091020250612,1,1,1,1,1,0,0,20240910,20250612
0000000672024091620250612,1,1,1,1,1,0,0,20240916,20250612
0000000672024100720250612,1,1,1,1,1,0,0,20241007,20250612
0000000672024100920250612,1,1,1,1,1,0,0,20241009,20250612
0000000672024101620250612,1,1,1,1,1,0,0,20241016,20250612
0000000682024090920250612,1,1,1,1,0,0,0,20240909,20250612
0000000692024090920250612,0,0,0,0,1,0,0,20240909,20250612
0000000772024090920250612,0,0,0,0,0,1,0,20240909,20250612
0000000772024101620250612,0,0,0,0,0,1,0,20241016,20250612
0000001092024090920250612,1,1,1,1,1,1,0,20240909,20250612
0000001402024090920250612,1,1,1,1,1,1,1,20240909,20250612
0000001432024090920250612,1,1,1,1,1,0,0,20240909,20250612
0000001432024091620250612,1,1,1,1,1,0,0,20240916,20250612
0000001442024090920250612,1,1,1,1,1,1,0,20240909,20250612
0000001452024090920250612,0,0,0,0,0,1,0,20240909,20250612
0000001462024090920250612,1,1,1,1,1,0,0,20240909,20250612
0000001462024091620250612,1,1,1,1,1,0,0,20240916,20250612
0000001472024090920250612,1,1,1,1,1,1,0,20240909,20250612
0000001472024091620250612,1,1,1,1,1,1,0,20240916,20250612
0000001482024090920250612,1,1,1,1,1,0,0,20240909,20250612
0000001552024090920250612,0,0,1,0,0,0,0,20240909,20250612
0000001562024090920250612,1,0,1,1,0,0,0,20240909,20250612
0000001572024090920250612,0,1,0,0,1,0,0,20240909,20250612
0000001642024090920250612,0,0,0,0,0,1,0,20240909,20250612
0000001712024090920250612,0,0,0,0,0,1,0,20240909,20250612
0000001722024090920250612,1,1,0,1,1,1,0,20240909,20250612
