id,schedule,start_date,end_date
calendar-urb-0000000012024090920250612,1111111,2024-09-09,2025-06-12
calendar-urb-0000000022024090920250612,1111110,2024-09-09,2025-06-12
calendar-urb-0000000022024092520250612,1111110,2024-09-25,2025-06-12
calendar-urb-0000000032024090920250612,1111110,2024-09-09,2025-06-12
calendar-urb-0000000032024092520250612,1111110,2024-09-25,2025-06-12
calendar-urb-0000000032024093020250612,1111110,2024-09-30,2025-06-12
calendar-urb-0000000052024090920250612,0000001,2024-09-09,2025-06-12
calendar-urb-0000000092024090920250612,1111100,2024-09-09,2025-06-12
calendar-urb-0000000102024090920250612,1111100,2024-09-09,2025-06-12
calendar-urb-0000000102024093020250612,1111100,2024-09-30,2025-06-12
calendar-urb-0000000112024090920250612,1111000,2024-09-09,2025-06-12
calendar-urb-0000000252024090920250612,0000010,2024-09-09,2025-06-12
calendar-urb-0000000522024093020250612,1111110,2024-09-30,2025-06-12
calendar-urb-0000000532024090920250612,1111100,2024-09-09,2025-06-12
calendar-urb-0000000592024090920250612,1111110,2024-09-09,2025-06-12
calendar-urb-0000000592024100720250612,1111110,2024-10-07,2025-06-12
calendar-urb-0000000602024090920250612,1111110,2024-09-09,2025-06-12
calendar-urb-0000000622024090920250612,0000001,2024-09-09,2025-06-12
calendar-urb-0000000662024090920250612,1111100,2024-09-09,2025-06-12
calendar-urb-0000000672024090920250612,1111100,2024-09-09,2025-06-12
calendar-urb-0000000672024091020250612,1111100,2024-09-10,2025-06-12
calendar-urb-0000000672024091620250612,1111100,2024-09-16,2025-06-12
calendar-urb-0000000672024100720250612,1111100,2024-10-07,2025-06-12
calendar-urb-0000000672024100920250612,1111100,2024-10-09,2025-06-12
calendar-urb-0000000672024101620250612,1111100,2024-10-16,2025-06-12
calendar-urb-0000000682024090920250612,1111000,2024-09-09,2025-06-12
calendar-urb-0000000692024090920250612,0000100,2024-09-09,2025-06-12
calendar-urb-0000000772024090920250612,0000010,2024-09-09,2025-06-12
calendar-urb-0000000772024101620250612,0000010,2024-10-16,2025-06-12
calendar-urb-0000001092024090920250612,1111110,2024-09-09,2025-06-12
calendar-urb-0000001402024090920250612,1111111,2024-09-09,2025-06-12
calendar-urb-0000001432024090920250612,1111100,2024-09-09,2025-06-12
calendar-urb-0000001432024091620250612,1111100,2024-09-16,2025-06-12
calendar-urb-0000001442024090920250612,1111110,2024-09-09,2025-06-12
calendar-urb-0000001452024090920250612,0000010,2024-09-09,2025-06-12
calendar-urb-0000001462024090920250612,1111100,2024-09-09,2025-06-12
calendar-urb-0000001462024091620250612,1111100,2024-09-16,2025-06-12
calendar-urb-0000001472024090920250612,1111110,2024-09-09,2025-06-12
calendar-urb-0000001472024091620250612,1111110,2024-09-16,2025-06-12
calendar-urb-0000001482024090920250612,1111100,2024-09-09,2025-06-12
calendar-urb-0000001552024090920250612,0010000,2024-09-09,2025-06-12
calendar-urb-0000001562024090920250612,1011000,2024-09-09,2025-06-12
calendar-urb-0000001572024090920250612,0100100,2024-09-09,2025-06-12
calendar-urb-0000001642024090920250612,0000010,2024-09-09,2025-06-12
calendar-urb-0000001712024090920250612,0000010,2024-09-09,2025-06-12
calendar-urb-0000001722024090920250612,1101110,2024-09-09,2025-06-12
calendar-ext-0000000012024090920250627,1111111,2024-09-09,2025-06-27
calendar-ext-0000000012024091020250627,1111111,2024-09-10,2025-06-27
calendar-ext-0000000012024091120250627,1111111,2024-09-11,2025-06-27
calendar-ext-0000000012024093020241130,1111111,2024-09-30,2024-11-30
calendar-ext-0000000012024101820250627,1111111,2024-10-18,2025-06-27
calendar-ext-0000000012024103020250627,1111111,2024-10-30,2025-06-27
calendar-ext-0000000022024090920241207,1111110,2024-09-09,2024-12-07
calendar-ext-0000000022024090920250627,1111110,2024-09-09,2025-06-27
calendar-ext-0000000022024091020250627,1111110,2024-09-10,2025-06-27
calendar-ext-0000000022024091620250627,1111110,2024-09-16,2025-06-27
calendar-ext-0000000022024092620250627,1111110,2024-09-26,2025-06-27
calendar-ext-0000000022024093020241130,1111110,2024-09-30,2024-11-30
calendar-ext-0000000022024100720250627,1111110,2024-10-07,2025-06-27
calendar-ext-0000000022024100920250627,1111110,2024-10-09,2025-06-27
calendar-ext-0000000022024101620250627,1111110,2024-10-16,2025-06-27
calendar-ext-0000000022024102120250627,1111110,2024-10-21,2025-06-27
calendar-ext-0000000022024102520250627,1111110,2024-10-25,2025-06-27
calendar-ext-0000000022024102920250627,1111110,2024-10-29,2025-06-27
calendar-ext-0000000022024103020250627,1111110,2024-10-30,2025-06-27
calendar-ext-0000000022024120120250627,1111110,2024-12-01,2025-06-27
calendar-ext-0000000022024122320250316,1111110,2024-12-23,2025-03-16
calendar-ext-0000000042024090920250627,1111100,2024-09-09,2025-06-27
calendar-ext-0000000042024091420250627,1111100,2024-09-14,2025-06-27
calendar-ext-0000000042024093020241130,1111100,2024-09-30,2024-11-30
calendar-ext-0000000042024100920250627,1111100,2024-10-09,2025-06-27
calendar-ext-0000000042024101420250627,1111100,2024-10-14,2025-06-27
calendar-ext-0000000042024102120250627,1111100,2024-10-21,2025-06-27
calendar-ext-0000000042024102520250627,1111100,2024-10-25,2025-06-27
calendar-ext-0000000042024103020250627,1111100,2024-10-30,2025-06-27
calendar-ext-0000000042024120120250627,1111100,2024-12-01,2025-06-27
calendar-ext-0000000052024090920250627,1111110,2024-09-09,2025-06-27
calendar-ext-0000000052024091020250627,1111110,2024-09-10,2025-06-27
calendar-ext-0000000052024091820250627,1111110,2024-09-18,2025-06-27
calendar-ext-0000000052024101420250627,1111110,2024-10-14,2025-06-27
calendar-ext-0000000052024102120250627,1111110,2024-10-21,2025-06-27
calendar-ext-0000000052024102520250627,1111110,2024-10-25,2025-06-27
calendar-ext-0000000062024090920250627,1111100,2024-09-09,2025-06-27
calendar-ext-0000000062024091020250627,1111100,2024-09-10,2025-06-27
calendar-ext-0000000062024091220250627,1111100,2024-09-12,2025-06-27
calendar-ext-0000000062024091420250627,1111100,2024-09-14,2025-06-27
calendar-ext-0000000062024091720250627,1111100,2024-09-17,2025-06-27
calendar-ext-0000000062024091820250627,1111100,2024-09-18,2025-06-27
calendar-ext-0000000062024091920250627,1111100,2024-09-19,2025-06-27
calendar-ext-0000000062024092420250627,1111100,2024-09-24,2025-06-27
calendar-ext-0000000062024092720250627,1111100,2024-09-27,2025-06-27
calendar-ext-0000000062024102120250627,1111100,2024-10-21,2025-06-27
calendar-ext-0000000072024090920250627,0000001,2024-09-09,2025-06-27
calendar-ext-0000000072024093020241130,0000001,2024-09-30,2024-11-30
calendar-ext-0000000072024101620241225,0000001,2024-10-16,2024-12-25
calendar-ext-0000000072024102120250627,0000001,2024-10-21,2025-06-27
calendar-ext-0000000072024103120250627,0000001,2024-10-31,2025-06-27
calendar-ext-0000000072024120120250627,0000001,2024-12-01,2025-06-27
calendar-ext-0000000072024122220250322,0000001,2024-12-22,2025-03-22
calendar-ext-0000000072024122220250323,0000001,2024-12-22,2025-03-23
calendar-ext-0000000072024122620250322,0000001,2024-12-26,2025-03-22
calendar-ext-0000000072024122620250323,0000001,2024-12-26,2025-03-23
calendar-ext-0000000092024090920250627,1111110,2024-09-09,2025-06-27
calendar-ext-0000000092024102120250627,1111110,2024-10-21,2025-06-27
calendar-ext-0000000302024090920250627,0000000,2024-09-09,2025-06-27
calendar-ext-0000000302024102120250627,0000000,2024-10-21,2025-06-27
calendar-ext-0000000322024090920250627,1111110,2024-09-09,2025-06-27
calendar-ext-0000000352024090920250627,0000000,2024-09-09,2025-06-27
calendar-ext-0000000402024090920250627,0000100,2024-09-09,2025-06-27
calendar-ext-0000000412024090920250627,0010000,2024-09-09,2025-06-27
calendar-ext-0000000502024090920250627,0001000,2024-09-09,2025-06-27
calendar-ext-0000000822024090920250627,0000010,2024-09-09,2025-06-27
calendar-ext-0000000822024091420250627,0000010,2024-09-14,2025-06-27
calendar-ext-0000000822024091820250627,0000010,2024-09-18,2025-06-27
calendar-ext-0000000822024102120250627,0000010,2024-10-21,2025-06-27
calendar-ext-0000004512024090920250627,0000010,2024-09-09,2025-06-27
calendar-ext-0000004512024091420250627,0000010,2024-09-14,2025-06-27
calendar-ext-0000004512024092520250627,0000010,2024-09-25,2025-06-27
calendar-ext-0000004512024093020241130,0000010,2024-09-30,2024-11-30
calendar-ext-0000004512024102120250627,0000010,2024-10-21,2025-06-27
calendar-ext-0000004512024120120250627,0000010,2024-12-01,2025-06-27
calendar-ext-0000005552024090920250627,0110100,2024-09-09,2025-06-27
calendar-ext-0000005902024090920250627,1111100,2024-09-09,2025-06-27
calendar-ext-0000005902024102120250627,1111100,2024-10-21,2025-06-27
calendar-ext-0000005902024122320250214,1111100,2024-12-23,2025-02-14
calendar-ext-0000005902024122420250214,1111100,2024-12-24,2025-02-14
calendar-ext-0000006202024090920250627,1111110,2024-09-09,2025-06-27
calendar-ext-0000006202024120820250316,1111110,2024-12-08,2025-03-16
calendar-ext-0000006212024120820250316,0000001,2024-12-08,2025-03-16
calendar-ext-0000006222024120820250316,1111100,2024-12-08,2025-03-16
calendar-ext-0000006232024120820250316,0000010,2024-12-08,2025-03-16
calendar-ext-0000006232024121820250316,0000010,2024-12-18,2025-03-16
calendar-ext-0000006272024090920250627,0100000,2024-09-09,2025-06-27
calendar-ext-0000006362024090920250627,0000100,2024-09-09,2025-06-27
calendar-ext-0000006362024101820250627,0000100,2024-10-18,2025-06-27
calendar-ext-0000006372024090920250627,1111000,2024-09-09,2025-06-27
calendar-ext-0000006462024090920250627,0000010,2024-09-09,2025-06-27
calendar-ext-0000006512024090920250627,1000000,2024-09-09,2025-06-27
calendar-ext-0000006532024090920250627,1001000,2024-09-09,2025-06-27
calendar-ext-0000006552024090920250627,0100000,2024-09-09,2025-06-27
calendar-ext-0000006562024090920250627,0001000,2024-09-09,2025-06-27
calendar-ext-0000006572024090920250627,0010000,2024-09-09,2025-06-27
calendar-ext-0000006782024090920250627,0111100,2024-09-09,2025-06-27
