id,service_id,date,exception_type
calendar-date-urb-1,calendar-urb-0000000022024090920250612,2024-11-01,2
calendar-date-urb-2,calendar-urb-0000000022024090920250612,2024-12-25,2
calendar-date-urb-3,calendar-urb-0000000022024090920250612,2024-12-26,2
calendar-date-urb-4,calendar-urb-0000000022024090920250612,2025-01-01,2
calendar-date-urb-5,calendar-urb-0000000022024090920250612,2025-01-06,2
calendar-date-urb-6,calendar-urb-0000000022024090920250612,2025-04-21,2
calendar-date-urb-7,calendar-urb-0000000022024090920250612,2025-04-25,2
calendar-date-urb-8,calendar-urb-0000000022024090920250612,2025-05-01,2
calendar-date-urb-9,calendar-urb-0000000022024090920250612,2025-06-02,2
calendar-date-urb-10,calendar-urb-0000000022024092520250612,2024-11-01,2
calendar-date-urb-11,calendar-urb-0000000022024092520250612,2024-12-25,2
calendar-date-urb-12,calendar-urb-0000000022024092520250612,2024-12-26,2
calendar-date-urb-13,calendar-urb-0000000022024092520250612,2025-01-01,2
calendar-date-urb-14,calendar-urb-0000000022024092520250612,2025-01-06,2
calendar-date-urb-15,calendar-urb-0000000022024092520250612,2025-04-21,2
calendar-date-urb-16,calendar-urb-0000000022024092520250612,2025-04-25,2
calendar-date-urb-17,calendar-urb-0000000022024092520250612,2025-05-01,2
calendar-date-urb-18,calendar-urb-0000000022024092520250612,2025-06-02,2
calendar-date-urb-19,calendar-urb-0000000032024090920250612,2024-10-30,1
calendar-date-urb-20,calendar-urb-0000000032024090920250612,2024-10-31,2
calendar-date-urb-21,calendar-urb-0000000032024090920250612,2024-11-01,2
calendar-date-urb-22,calendar-urb-0000000032024090920250612,2024-11-02,2
calendar-date-urb-23,calendar-urb-0000000032024090920250612,2024-11-04,1
calendar-date-urb-24,calendar-urb-0000000032024090920250612,2024-11-05,1
calendar-date-urb-25,calendar-urb-0000000032024090920250612,2024-11-06,1
calendar-date-urb-26,calendar-urb-0000000032024090920250612,2024-11-07,1
calendar-date-urb-27,calendar-urb-0000000032024090920250612,2024-11-08,1
calendar-date-urb-28,calendar-urb-0000000032024090920250612,2024-11-09,1
calendar-date-urb-29,calendar-urb-0000000032024090920250612,2024-11-11,1
calendar-date-urb-30,calendar-urb-0000000032024090920250612,2024-11-12,1
calendar-date-urb-31,calendar-urb-0000000032024090920250612,2024-11-13,1
calendar-date-urb-32,calendar-urb-0000000032024090920250612,2024-11-14,1
calendar-date-urb-33,calendar-urb-0000000032024090920250612,2024-11-15,1
calendar-date-urb-34,calendar-urb-0000000032024090920250612,2024-11-16,1
calendar-date-urb-35,calendar-urb-0000000032024090920250612,2024-11-18,1
calendar-date-urb-36,calendar-urb-0000000032024090920250612,2024-11-19,1
calendar-date-urb-37,calendar-urb-0000000032024090920250612,2024-11-20,1
calendar-date-urb-38,calendar-urb-0000000032024090920250612,2024-11-21,1
calendar-date-urb-39,calendar-urb-0000000032024090920250612,2024-11-22,1
