id,route_short_name,route_long_name,route_type
route-urb-396,3,Cortesano Gardolo P.Dante Villazzano 3,3
route-urb-400,5,Piazza Dante P.Fiera Povo Oltrecastello,3
route-urb-402,7,Canova Melta Piazza Dante Gocciadoro,3
route-urb-404,8,Centochiavi Piazza Dante Mattarello,3
route-urb-406,9,P.Dante S.Donà Cognola Villamontagna,3
route-urb-408,10,P.Dante Martignano Cognola / Montevaccino,3
route-urb-411,12,P.Dante Via Ghiaie Ravina Romagnano,3
route-urb-415,14,P.Dante Via Sanseverino Belvedere Ravina,3
route-urb-425,11,Piazza Dante Via Brennero Gardolo Spini,3
route-urb-466,13,P.Dante Rosmini S.Rocco Povo Polo Soc.,3
route-urb-478,15,Piazza Dante Interporto Spini Di Gardolo,3
route-urb-484,16,Centochiavi Martignano Cognola Povo,3
route-urb-512,7,Moietto Rosmini Campana Dei Caduti,3
route-urb-531,Fu,Funivia Trento Sardagna,5
route-urb-533,C,Rsa "S.Bart." "Angeli Custodi" Laste,3
route-urb-535,5/,P.Dante P.Fiera Università Mesiano Povo,3
route-urb-536,1,Ospedale P.Dante Sopramonte,3
route-urb-538,2,Piedic. Stazione Osp.S.Chiara Regione Piedic.,3
route-urb-539,4,Gardolo Roncafort Stazione V.Deg. Mad.Bianca,3
route-urb-541,6,Vela P.Dante Villazzano Grotta,3
route-urb-562,A,Brione Cesari Ospedale Podesta' Brione,3
route-urb-563,B,Ossario Osp. S.Giorgio Osp. Ossario,3
route-urb-566,AB,Via Magazol S.Giorgio Cornacalda,3
route-urb-568,G,Gardolo Gardolo Di Mezzo E Spini,3
route-urb-570,CM,Povo Borino Celva Passo Cimirlo,3
route-urb-578,1,(Volano) Bettini Staz. Lizzana Marco,3
route-urb-580,6,Costa Corso Rosmini S.Giorgio/Ospedale,3
route-urb-582,2,Nomi Villa Lagarina Stazione Mori,3
route-urb-590,3,03 Peders. Brione Stazione Isera (Lenzima),3
route-urb-592,4,Villa Lag. Brione Staz. Isera Lenzima,3
route-urb-594,5,Ospedale Stazione Isera Villa Lagar.,3
route-urb-598,V,Volano Besenello Calliano Nomi,3
route-urb-601,P,Castellano Molini Villa Lagarina,3
route-urb-602,S,Savignano Pomarolo,3
route-urb-607,L1,01 Lavis Pressano Nave S.Felice Sorni,3
route-urb-610,L3,03 Lavis Stazione Fs,3
route-urb-612,L4,04 Lavis Zona Industriale Lavis,3
route-urb-613,L2,02 Lavis Pressano Masi Sp.131 Sorni,3
route-urb-614,A,P.Dante Ospedale Fersina Clarina P.Dante,3
route-urb-615,M,Martignano Montevaccino,3
route-urb-617,P,Centochiavi Martignano Cognola Povo,3
route-urb-621,N,Zuffo Via Rosmini Italcementi,3
route-urb-623,19,Stazione Buc M.Baldo Muse Regione,3
route-urb-629,17,P.Dante V.Bolzano Lavis Lavs Ftm,3
route-ext-1,B101,Cavalese-Predazzo-Moena-Canazei-Penia,3
route-ext-3,B102,Trento -  Cembra - Capriana - Cavalese,3
route-ext-7,B114,Casatta di Valfloriana - Palu' - Sicina,3
route-ext-55,B104,Trento-S.Michele a/A-Salorno-Egna-Ora-Cavalese,3
route-ext-60,B105,Verla - Valternigo - Palu' di Giovo,3
route-ext-63,B121,Montesover - Sover,3
route-ext-65,B109,Cavalese - Masi di Cavalese,3
route-ext-67,B111,Cavalese - Carano - Villaggio Veronza,3
route-ext-69,B402,Trento - Nogarè - Baselga di Pinè -Montesover,3
route-ext-71,B201,Trento-Vezzano-Sarche-Tione,3
route-ext-73,B216,Tione-Bolbeno-Ragoli-Montagne,3
route-ext-76,B202,Trento-Sardagna-Candriai-Vaneze-Vason-Viote,3
route-ext-78,B203,Vezzano-Ciago-Ranzo-Margone,3
route-ext-80,B206,Trento-Cadine-Sopramonte-Terlago-MTerlago,3
route-ext-84,B429,Centrale - Regnana,3
route-ext-86,B408,Borgo Valsugana - Olle,3
route-ext-90,B415,Levico Terme - Barco - S.Giuliana - Lochere,3
route-ext-92,B431,Baselga di Pinè - S.Mauro,3
route-ext-94,B413,Brusago-Valcava,3
route-ext-96,B428,Bedollo-Svaldi,3
route-ext-98,B410,Borgo Valsugana - Tezze - Primolano,3
route-ext-102,B501,S.Martino di Castrozza-Fiera di Primiero-Feltre,3
route-ext-106,B504,Canal S.Bovo - Ronco Fosse - Ronco Chiesa,3
route-ext-108,B512,Trento-Borgo Valsugana-Arten-Feltre,3
route-ext-110,B301,Trento-Besenello-Calliano-Rovereto,3
route-ext-116,B506,Fiera di Primiero-Imer-Canal S.Bovo-Caoria,3
route-ext-117,B112,Cavalese - Daiano - Varena,3
route-ext-120,B103,Trento - Civezzano - Sover - Cavalese,3
route-ext-123,B514,Trento-Borgo V.-Arten-Fiera di P.-S. Martino C.,3
route-ext-130,B122,Predazzo-P.sso Rolle-Fiera di P.,3
route-ext-132,B409,Borgo Valsugana -Roncegno Terme -Ronchi,3
route-ext-134,B205,Trento-Vezzano-Sarche-Dro-Arco-Riva,3
route-ext-136,B113,Cavalese - Daiano - Carano - Tesero - Cavalese,3
route-ext-138,B404,Baselga di Pinè - Faida  - Montagnaga,3
route-ext-151,B116,Trento - Civezzano - S.Agnese - Bosco,3
route-ext-153,B211,Riva del Garda-Tenno-Fiave'-Ponte Arche,3
route-ext-155,B210,Ponte Arche-S.Croce-Cavrasto-Bivedo,3
route-ext-157,B215,Tione-Pieve di Bono-Storo-Baitoni-Ponte Caffaro,3
route-ext-159,B209,Ponte Arche-Lundo,3
route-ext-161,B208,Ponte Arche-S.Lorenzo in B.-Molveno,3
route-ext-164,B213,Pieve di Bono-Castel Condino-Por,3
route-ext-167,B212,Pieve di Bono-Praso-Daone,3
route-ext-169,B406,Borgo Valsugana -Carzano -Strigno -Samone,3
