id,stop_name,stop_lat,stop_lon
stop-urb-1,Baselga Del Bondone,46.078354,11.047183
stop-urb-2,Baselga Del Bondone,46.078528,11.047586
stop-urb-3,Belvedere,46.044409,11.105369
stop-urb-4,Lamar Ponte Avisio,46.134568,11.111001
stop-urb-5,Sp 85 Bivio Sopramonte,46.085069,11.069564
stop-urb-7,Maso Bolleri,46.102457,11.124144
stop-urb-8,Maso Bolleri,46.102269,11.123991
stop-urb-9,Borino,46.067127,11.165537
stop-urb-10,Cadine Strada Gardesana,46.088578,11.065061
stop-urb-11,Cadine Strada Gardesana,46.088767,11.064526
stop-urb-12,Canova Paludi,46.099273,11.109269
stop-urb-13,Gardolo "Materna Paludi",46.103917,11.108166
stop-urb-15,Asiago S.Bartolameo,46.047706,11.137591
stop-urb-17,Cognola "Toresela",46.07889,11.153522
stop-urb-18,Cognola "Toresela",46.078916,11.154062
stop-urb-19,Cognola Bivio Civezzano,46.080507,11.158307
stop-urb-20,Cognola Bivio Civezzano,46.080506,11.158409
stop-urb-21,Cognola "Centro Civico",46.07644,11.141608
stop-urb-22,Cognola Grezoni,46.075937,11.146884
stop-urb-23,Cognola Grezoni,46.075967,11.14658
stop-urb-24,San Vito,46.075378,11.139504
stop-urb-25,Cognola S.Vito,46.075681,11.14077
stop-urb-26,Cognola S.Vito,46.075653,11.141776
stop-urb-27,San Vito,46.075399,11.13889
stop-urb-28,Cognola "Scuole",46.075713,11.144004
stop-urb-29,Cognola "Scuole",46.075819,11.144105
stop-urb-30,Cognola Alla Veduta "Roza",46.077643,11.151166
stop-urb-31,Cognola Alla Veduta "Roza",46.078022,11.151578
stop-urb-32,Brescia "Villa Salvotti",46.076115,11.101057
stop-urb-37,Degli Alpini Oberziner,46.079109,11.118075
stop-urb-38,Cortesano,46.124661,11.133726
stop-urb-39,Vigo Meano Alle Gorghe,46.129695,11.134602
stop-urb-40,Vigo Meano Alle Gorghe,46.129572,11.134665
stop-urb-43,Forte Bus De Vela,46.085345,11.069798
stop-urb-46,Gabbiolo "Campo Sportivo",46.055301,11.14899
stop-urb-47,Gabbiolo "Campo Sportivo",46.055279,11.148843
stop-urb-48,Sp 76 Carpenedi,46.117667,11.110047
stop-urb-49,Sp 76 Carpenedi,46.117278,11.108621
stop-urb-50,Gardolo S.Anna,46.111157,11.109534
stop-urb-51,Gardolo S.Anna,46.111087,11.109494
stop-urb-52,Gardolo P.Le Neufahrn Sud,46.106607,11.111622
stop-urb-53,Gardolo P.Le Neufahrn Nord,46.106673,11.11158
stop-urb-54,Gardolo Piazza,46.108364,11.111681
stop-urb-55,Gardolo Piazza,46.108465,11.111514
stop-urb-56,Canova Aichner,46.101923,11.103255
stop-urb-57,Canova Via Della Canova,46.100323,11.106659
stop-urb-58,Gardolo Don Milani 8 Marzo,46.103947,11.117561
stop-urb-59,Gardolo D.Milani "Piscina",46.10671,11.114353
stop-urb-60,Gardolo D.Milani "Piscina",46.106764,11.114361
stop-urb-61,Gardolo Don Milani 8 Marzo,46.104154,11.117338
stop-urb-62,Gardolo S.Anna Carpenedi,46.113334,11.107735
stop-urb-63,Gardolo S.Anna Carpenedi,46.113375,11.107612
stop-urb-64,Gardolo Svincolo Ss.12,46.106196,11.109014
stop-urb-65,Gazzadina Strada Vecchia,46.13011,11.126402
stop-urb-66,Gazzadina Al Pontat,46.128896,11.128728
stop-urb-67,Gazzadina Al Pontat,46.128751,11.129085
stop-urb-68,Gazzadina Strada Vecchia,46.130171,11.126098
stop-urb-69,Grotta Piazza,46.045775,11.151173
stop-urb-70,Grotta Bindesi,46.043306,11.151756
stop-urb-71,Grotta Bindesi,46.043679,11.151494
stop-urb-72,Ss 12 "Zona Ind.Le Ftm",46.119198,11.106145
stop-urb-73,Lamar "Ftm",46.125847,11.107861
stop-urb-74,Lamar "Ftm",46.125967,11.107596
stop-urb-75,Lamar "Sottostazione Enel",46.129144,11.109752
stop-urb-76,Largo Sauro,46.074753,11.125004
stop-urb-77,Lavis Nazionale,46.13858,11.109069
stop-urb-78,Lavis Piazza Caduti,46.138061,11.115898
stop-urb-79,Lavis "Municipio",46.139289,11.112161
stop-urb-80,Lavis Rosmini Segantini,46.142225,11.108496
stop-urb-85,Centochiavi Dalla Fior,46.094565,11.120643
stop-urb-86,Centochiavi Chiocchetti,46.093919,11.120723
stop-urb-87,Melta "Case Itea",46.102356,11.118127
stop-urb-88,Parco di Melta,46.097301,11.119758
stop-urb-89,Melta Centro,46.099084,11.119185
stop-urb-90,Melta Centro,46.100097,11.118761
stop-urb-91,Parco di Melta,46.097222,11.119861
stop-urb-92,Bettini "Madonna Bianca",46.04238,11.132874
stop-urb-93,Stella "S.Gaetano",46.036419,11.13043
stop-urb-94,Ss 12 "Casteller",46.025382,11.132726
stop-urb-95,Ss 12 "Casteller",46.025655,11.132788
stop-urb-96,Madonna Bianca "S.Gaetano",46.037978,11.13066
stop-urb-97,Stella Marighetto,46.03424,11.131449
stop-urb-98,Madonna Bianca "Man",46.040233,11.13044
stop-urb-99,Ss 12 "Le Caverne",46.031037,11.132709
stop-urb-100,Ss 12 "Le Caverne",46.030059,11.132908
stop-urb-101,Martignano Formigheta,46.089145,11.133132
stop-urb-102,Martignano Formigheta,46.088977,11.133177
stop-urb-103,Martignano "Chiesa",46.088719,11.130593
stop-urb-104,Sp 131 "Maso Pradiscola",46.083248,11.135662
stop-urb-105,Sp 131 "Maso Pradiscola",46.083257,11.135788
stop-urb-106,Martignano P.Zza Menghin,46.090133,11.131586
stop-urb-107,Martignano P.Zza Menghin,46.090206,11.131471
stop-urb-108,Martignano Piazza Canopi,46.089258,11.130976
stop-urb-109,Sp 131 "Res. Silvana",46.09764,11.126986
stop-urb-110,Sp 131 "Res. Silvana",46.097687,11.12683
stop-urb-111,Martignano Ai Bolleri,46.094528,11.130103
stop-urb-112,Martignano Ai Bolleri,46.094843,11.129425
stop-urb-113,Sopramonte "Maso Banal",46.069001,11.063551
stop-urb-115,Sp 131 Al Maso Specchio,46.10449,11.123519
stop-urb-116,Sp 131 Al Maso Specchio,46.104411,11.123396
stop-urb-117,Ravina "Maso Stella",46.032327,11.112713
stop-urb-118,Ravina "Maso Stella",46.032559,11.112917
stop-urb-119,Mattarello Piazza Perini,46.00691,11.128386
stop-urb-120,Mattarello Via Nazionale,46.012398,11.1306
stop-urb-121,Mattarello Via Nazionale,46.011656,11.130383
stop-urb-122,Mattarello Pomeranos,46.013587,11.131547
stop-urb-123,Mattarello "Ronchi",46.017229,11.132453
stop-urb-124,Mattarello "Ronchi",46.017316,11.132591
