"id","trip_id","arrival_time","departure_time","stop_id","stop_sequence"
"stop-time-train-1","trip-train-16107","NA","05:35:00","stop-train-2264",1
"stop-time-train-2","trip-train-16107","05:38:30","05:39:00","stop-train-2676",2
"stop-time-train-3","trip-train-16107","05:40:30","05:41:00","stop-train-2591",3
"stop-time-train-4","trip-train-16107","05:45:00","05:46:00","stop-train-2093",4
"stop-time-train-5","trip-train-16107","05:50:30","05:51:00","stop-train-340",5
"stop-time-train-6","trip-train-16107","06:01:00","06:02:00","stop-train-527",6
"stop-time-train-7","trip-train-16107","06:05:30","06:06:00","stop-train-2674",7
"stop-time-train-8","trip-train-16107","06:10:30","06:11:00","stop-train-1804",8
"stop-time-train-9","trip-train-16107","06:16:00","06:17:00","stop-train-1798",9
"stop-time-train-10","trip-train-16107","06:21:00","06:22:00","stop-train-1009",10
"stop-time-train-11","trip-train-16107","06:32:00","06:33:00","stop-train-193",11
"stop-time-train-12","trip-train-16107","06:37:00","06:38:00","stop-train-1880",12
"stop-time-train-13","trip-train-16107","06:41:00","NA","stop-train-1879",13
"stop-time-train-14","trip-train-16105","NA","05:05:00","stop-train-2264",1
"stop-time-train-15","trip-train-16105","05:08:30","05:09:00","stop-train-2676",2
"stop-time-train-16","trip-train-16105","05:10:30","05:11:00","stop-train-2591",3
"stop-time-train-17","trip-train-16105","05:15:00","05:16:00","stop-train-2093",4
"stop-time-train-18","trip-train-16105","05:20:30","05:21:00","stop-train-340",5
"stop-time-train-19","trip-train-16105","05:31:00","05:32:00","stop-train-527",6
"stop-time-train-20","trip-train-16105","05:35:30","05:36:00","stop-train-2674",7
"stop-time-train-21","trip-train-16105","05:40:30","05:41:00","stop-train-1804",8
"stop-time-train-22","trip-train-16105","05:46:00","05:47:00","stop-train-1798",9
"stop-time-train-23","trip-train-16105","05:51:00","05:52:00","stop-train-1009",10
"stop-time-train-24","trip-train-16105","06:02:00","06:03:00","stop-train-193",11
"stop-time-train-25","trip-train-16105","06:07:00","06:08:00","stop-train-1880",12
"stop-time-train-26","trip-train-16105","06:10:00","06:11:00","stop-train-1879",13
"stop-time-train-27","trip-train-16105","06:15:00","06:16:00","stop-train-2369",14
"stop-time-train-28","trip-train-16105","06:24:00","06:25:00","stop-train-1131",15
"stop-time-train-29","trip-train-16105","06:30:30","06:31:00","stop-train-2323",16
"stop-time-train-30","trip-train-16105","06:34:00","06:35:00","stop-train-316",17
"stop-time-train-31","trip-train-16105","06:42:00","06:47:00","stop-train-1499",18
"stop-time-train-32","trip-train-16105","06:51:30","06:52:00","stop-train-2642",19
"stop-time-train-33","trip-train-16105","06:57:00","06:58:00","stop-train-1700",20
"stop-time-train-34","trip-train-16105","07:01:30","07:02:00","stop-train-2636",21
"stop-time-train-35","trip-train-16105","07:04:30","07:05:00","stop-train-2427",22
"stop-time-train-36","trip-train-16105","07:12:00","NA","stop-train-1981",23
"stop-time-train-37","trip-train-16109","NA","06:05:00","stop-train-2264",1
"stop-time-train-38","trip-train-16109","06:08:30","06:09:00","stop-train-2676",2
"stop-time-train-39","trip-train-16109","06:10:30","06:11:00","stop-train-2591",3
"stop-time-train-40","trip-train-16109","06:15:00","06:16:00","stop-train-2093",4
"stop-time-train-41","trip-train-16109","06:20:30","06:21:00","stop-train-340",5
"stop-time-train-42","trip-train-16109","06:31:00","06:32:00","stop-train-527",6
"stop-time-train-43","trip-train-16109","06:35:30","06:36:00","stop-train-2674",7
"stop-time-train-44","trip-train-16109","06:40:30","06:41:00","stop-train-1804",8
"stop-time-train-45","trip-train-16109","06:46:00","06:47:00","stop-train-1798",9
"stop-time-train-46","trip-train-16109","06:51:00","06:52:00","stop-train-1009",10
"stop-time-train-47","trip-train-16109","07:01:00","07:05:00","stop-train-193",11
"stop-time-train-48","trip-train-16109","07:09:00","07:10:00","stop-train-1880",12
"stop-time-train-49","trip-train-16109","07:12:00","07:13:00","stop-train-1879",13
"stop-time-train-50","trip-train-16109","07:17:00","07:18:00","stop-train-2369",14
"stop-time-train-51","trip-train-16109","07:28:00","07:29:00","stop-train-1131",15
"stop-time-train-52","trip-train-16109","07:34:30","07:35:00","stop-train-2323",16
"stop-time-train-53","trip-train-16109","07:38:00","07:39:00","stop-train-316",17
"stop-time-train-54","trip-train-16109","07:46:00","07:51:00","stop-train-1499",18
"stop-time-train-55","trip-train-16109","07:55:30","07:56:00","stop-train-2642",19
"stop-time-train-56","trip-train-16109","08:01:00","08:02:00","stop-train-1700",20
"stop-time-train-57","trip-train-16109","08:05:30","08:06:00","stop-train-2636",21
"stop-time-train-58","trip-train-16109","08:08:30","08:09:00","stop-train-2427",22
"stop-time-train-59","trip-train-16109","08:16:00","NA","stop-train-1981",23
"stop-time-train-60","trip-train-16923","NA","09:35:00","stop-train-2264",1
"stop-time-train-61","trip-train-16923","09:38:30","09:39:00","stop-train-2676",2
"stop-time-train-62","trip-train-16923","09:40:30","09:41:00","stop-train-2591",3
"stop-time-train-63","trip-train-16923","09:45:00","09:46:00","stop-train-2093",4
"stop-time-train-64","trip-train-16923","09:50:30","09:51:00","stop-train-340",5
"stop-time-train-65","trip-train-16923","10:01:00","10:02:00","stop-train-527",6
"stop-time-train-66","trip-train-16923","10:05:30","10:06:00","stop-train-2674",7
"stop-time-train-67","trip-train-16923","10:10:30","10:11:00","stop-train-1804",8
"stop-time-train-68","trip-train-16923","10:16:00","10:17:00","stop-train-1798",9
"stop-time-train-69","trip-train-16923","10:21:00","10:22:00","stop-train-1009",10
"stop-time-train-70","trip-train-16923","10:32:00","10:33:00","stop-train-193",11
"stop-time-train-71","trip-train-16923","10:37:00","10:38:00","stop-train-1880",12
"stop-time-train-72","trip-train-16923","10:41:00","NA","stop-train-1879",13
"stop-time-train-73","trip-train-16108","NA","07:25:00","stop-train-1981",1
"stop-time-train-74","trip-train-16108","07:29:30","07:30:00","stop-train-2427",2
"stop-time-train-75","trip-train-16108","07:33:30","07:34:00","stop-train-2636",3
"stop-time-train-76","trip-train-16108","07:38:00","07:39:00","stop-train-1700",4
"stop-time-train-77","trip-train-16108","07:44:30","07:45:00","stop-train-2642",5
"stop-time-train-78","trip-train-16108","07:49:00","07:50:00","stop-train-1499",6
"stop-time-train-79","trip-train-16108","07:57:00","07:58:00","stop-train-316",7
"stop-time-train-80","trip-train-16108","08:01:30","08:02:00","stop-train-2323",8
"stop-time-train-81","trip-train-16108","08:08:00","08:09:00","stop-train-1131",9
"stop-time-train-82","trip-train-16108","08:18:00","08:19:00","stop-train-2369",10
"stop-time-train-83","trip-train-16108","08:24:00","08:25:00","stop-train-1879",11
"stop-time-train-84","trip-train-16108","08:27:00","08:28:00","stop-train-1880",12
"stop-time-train-85","trip-train-16108","08:32:00","08:33:00","stop-train-193",13
"stop-time-train-86","trip-train-16108","08:41:00","08:42:00","stop-train-1009",14
"stop-time-train-87","trip-train-16108","08:46:00","08:47:00","stop-train-1798",15
"stop-time-train-88","trip-train-16108","08:50:30","08:51:00","stop-train-1804",16
"stop-time-train-89","trip-train-16108","08:55:30","08:56:00","stop-train-2674",17
