id,route_id,service_id,trip_headsign,direction_id
trip-urb-0004187192024090920250612,route-urb-607,calendar-urb-0000001432024090920250612,Sorni,0
trip-urb-0004187202024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Pressano Piazza,0
trip-urb-0004187212024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Pressano Piazza,0
trip-urb-0004187222024090920250612,route-urb-613,calendar-urb-0000001482024090920250612,Pressano Piazza,0
trip-urb-0004187232024090920250612,route-urb-610,calendar-urb-0000001462024090920250612,Lavis "Stazione Fs",0
trip-urb-0004187242024090920250612,route-urb-610,calendar-urb-0000001462024090920250612,Lavis "Stazione Fs",0
trip-urb-0004187252024090920250612,route-urb-610,calendar-urb-0000001462024090920250612,Lavis "Stazione Fs",0
trip-urb-0004187262024090920250612,route-urb-610,calendar-urb-0000001462024090920250612,Lavis "Stazione Fs",0
trip-urb-0004187282024090920250612,route-urb-612,calendar-urb-0000001462024090920250612,Lavis Via Nazionale,0
trip-urb-0004187292024090920250612,route-urb-612,calendar-urb-0000001462024090920250612,Lavis Via Nazionale,0
trip-urb-0004187302024090920250612,route-urb-612,calendar-urb-0000001462024090920250612,Lavis Via Nazionale,0
trip-urb-0004187312024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Sorni,0
trip-urb-0004187322024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Sorni,0
trip-urb-0004187332024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Sorni,0
trip-urb-0004187342024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Sorni,0
trip-urb-0004187352024090920250612,route-urb-607,calendar-urb-0000001432024090920250612,Sorni,0
trip-urb-0004187362024090920250612,route-urb-607,calendar-urb-0000001452024090920250612,Sorni,0
trip-urb-0004187372024090920250612,route-urb-607,calendar-urb-0000001462024090920250612,Sorni,0
trip-urb-0004187382024090920250612,route-urb-607,calendar-urb-0000001462024090920250612,Sorni,0
trip-urb-0004187392024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Sorni,0
trip-urb-0004187402024090920250612,route-urb-613,calendar-urb-0000001482024090920250612,Sorni,0
trip-urb-0004187422024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Lavis Via Nazionale,1
trip-urb-0004187432024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Lavis Via Nazionale,1
trip-urb-0004187442024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Lavis Via Nazionale,1
trip-urb-0004187452024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Lavis Via Nazionale,1
trip-urb-0004187462024090920250612,route-urb-607,calendar-urb-0000001432024090920250612,Lavis Via Nazionale,1
trip-urb-0004187472024090920250612,route-urb-607,calendar-urb-0000001452024090920250612,Lavis Via Nazionale,1
trip-urb-0004187482024090920250612,route-urb-607,calendar-urb-0000001462024090920250612,Lavis Via Nazionale,1
trip-urb-0004187492024090920250612,route-urb-607,calendar-urb-0000001462024090920250612,Lavis Via Nazionale,1
trip-urb-0004187502024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Lavis Via Nazionale,1
trip-urb-0004187522024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Lavis Via Nazionale,1
trip-urb-0004187532024090920250612,route-urb-607,calendar-urb-0000001442024090920250612,Lavis Via Nazionale,1
trip-urb-0004187542024090920250612,route-urb-613,calendar-urb-0000001472024090920250612,Lavis Via Nazionale,1
trip-urb-0004187552024090920250612,route-urb-613,calendar-urb-0000001482024090920250612,Lavis Via Nazionale,1
trip-urb-0004187562024090920250612,route-urb-613,calendar-urb-0000001482024090920250612,Lavis Via Nazionale,1
trip-urb-0004187572024090920250612,route-urb-610,calendar-urb-0000001462024090920250612,Lavis Via Nazionale,1
trip-urb-0004187582024090920250612,route-urb-610,calendar-urb-0000001462024090920250612,Lavis Via Nazionale,1
trip-urb-0004187592024090920250612,route-urb-610,calendar-urb-0000001462024090920250612,Lavis Via Nazionale,1
trip-urb-0004187602024090920250612,route-urb-610,calendar-urb-0000001462024090920250612,Lavis Via Nazionale,1
trip-urb-0004187692024090920250612,route-urb-629,calendar-urb-0000000022024090920250612,Lavis Nazionale,0
trip-urb-0004187702024090920250612,route-urb-629,calendar-urb-0000000032024090920250612,Lavis Nazionale,0
trip-urb-0004187712024090920250612,route-urb-400,calendar-urb-0000000022024090920250612,Oltrecastello,0
trip-urb-0004187722024090920250612,route-urb-400,calendar-urb-0000000102024090920250612,Oltrecastello,0
